tipo,usina,tipo_de_leilao,leilao,pot_MW,garantia_fisica_MW_medio,lotes_vendidos,preco_por_MW,localizacao,fonte,mod,invest_previsto,empresa_consorcio
UHE,UHE Foz do Rio Claro,A-5,Leilão 2/2005,68.4,41,41,108.04,Caçú e São Simão/GO,Água,PIE,281032620.00,Alusa Engenharia Ltda
UHE,UHE São José,A-5,Leilão 2/2005,51,30.4,30,115.8,Salvador das Missões e Rolador / RS,Água,PIE,208985970.00,Alusa Engenharia Ltda
UHE,UHE Passo São João,A-5,Leilão 2/2005,77,39,37,112.55,Dezesseis de Novembro e Roque Gonzales / RS,Água,PIE,267595880.00,Eletrosul S.A.
UHE,UHE Simplício,A-5,Leilão 2/2005,337.7,191.3,185,115.38,Sapucaia e Três Rios/RJ e Chiador e Além Paraíba/MG,Água,PIE,1441505800.00,"Furnas
Centrais Elétricas S.A."
UHE,UHE Retiro Baixo,A-5,Leilão 2/2005,82,38.5,36,114.86,Curvelo e Pompeu/MG,Água,PIE,262417880.00,Orteng Equipamentos e Sistemas Ltda.
UHE,UHE Baguari,A-5,Leilão 2/2005,140,80.2,77,115.1,"Fernades Tourinho, Governador Valadares, Periquito, Sobrália, Iapú e Alpercata/MG",Água,PIE,487516620.00,"Cemig Geração e Transmissão S.A. (34%), Furnas Centrais Elétricas S.A. (15%) e Neoenergia S.A.
(51%), que compõem o Consórcio Baguari"
UTE,UTE Candiota III,A-5,Leilão 2/2005,350,303.5,292,124.67,Candiota/RS,Carvão Mineral,PIE,986900000.00,Companhia de Geração Térmica de Energia Elétrica - CGTEE
UTE,UTE Costa Pinto (Ampliação),A-5,Leilão 2/2005,56.14,22,19,138.99,Piracicaba/SP,Bagaço de Cana-de-Açúcar,AP,158641610.00,Cosan S.A. Bioenergia
UTE,UTE Interlagos,A-5,Leilão 2/2005,40,20.7,8,114.96,Pereira Barreto/SP,Bagaço de Cana-de-Açúcar,PIE,68370110.00,Usina Interlagos Ltda.
UTE,UTE Quirinópolis,A-5,Leilão 2/2005,40,11.6,6,104,Quirinópolis/GO,Bagaço de Cana-de-Açúcar,PIE,78800000.00,U.S.J. Açúcar e Álcool S.A.
UTE,UTE Goiânia II,A-5,Leilão 2/2005,140,65.3,65,138.94,Aparecida de Goiânia/GO,Óleo Diesel,PIE,232098250.00,"Petrobrás
Distribuidora S.A. (10%) e Benco Engenharia Ltda. (90%), que compõem o Consórcio BR Benco"
UTE,UTE Colorado (Ampliação),A-3,Leilão 2/2006,32,16,8,134.21,Guaíra /SP,Bagaço de Cana-de-Açúcar,PIE,75695000.00,Açúcar e Álcool Oswaldo Ribeiro de Mendonça Ltda
UTE,UTE São José (Ampliação),A-3,Leilão 2/2006,50,28.3,28,134.2,Macatuba/SP,Bagaço de Cana-de-Açúcar,PIE,184640000.00,Açucareira Zillo Lorenzetti S.A.
UTE,UTE Camaçari Polo de Apoio I,A-3,Leilão 2/2006,148,101.4,101,134.3,Camaçari/BA,Óleo Combustível,PIE,250000000.00,"Petrobrás Distribuidora S.A. (30%), Crisga Consultoria em Engenharia Elétrica e Participações Ltda. (20%), WJ Tecnologia Ltda. (15%), Genrent do Brasil Ltda. (20%), Ellocin Brasil Participações e Consultoria Empresarial – ELLOBRAS Ltda. (15%) integrantes do Consórcio BRGEC"
UTE,UTE Camaçari Muricy I,A-3,Leilão 2/2006,148,101.4,101,134.42,Camaçari/BA,Óleo Combustível,PIE,250000000.00,Petrobrás Distribuidora S.A. (50%) e Morro do Conselho Participações Ltda. (50%) integrantes do Consórcio BRMDC
UTE,UTE Santa Izabel (Ampliação),A-3,Leilão 2/2006,40,11.3,11,134.24,Novo Horizonte/SP,Bagaço de Cana-de-Açúcar,AP,65400000.00,Usina Santa Isabel Ltda.
UTE,UTE Potiguar III,A-3,Leilão 2/2006,66,29.5,29,134.25,Macaíba/RN,Óleo Diesel,PIE,55145000.00,Potiguar S.A. – TEP
UTE,UTE Pau Ferro I,A-3,Leilão 2/2006,94,46.5,46,134.31,Igarassú/PE,"Óleo Diesel
(Alternativo: Biodiesel)",PIE,55700000.00,Termomanaus Ltda
UTE,UTE Termomanaus,A-3,Leilão 2/2006,142.24,70.4,70,134.31,Cabo de Santo  Agostinho/PE,"Óleo Diesel
(Alternativo: Biodiesel)",PIE,75072000.00,Termomanaus Ltda
UTE,UTE Quirinopolis (Ampliação),A-3,Leilão 2/2006,40,11.2,11,134.12,Quirinópolis/GO,Bagaço de Cana-de-Açúcar,PIE,78800000.00,U.S.J. Açúcar e Álcool S.A.
PCH,PCH Barra Escondida,A-3,Leilão 2/2006,2.25,1.25,1,124.99,Saudades/SC,Água,PIE,8216000.00,QBEC Projetos e Consultoria Ltda.
UHE,UHE Dardanelos,A-5,Leilão 4/2006,261,154.9,147,112.68,Aripuanã/MT,Água,PIE,574133830.00,"Companhia Hidro Elétrica do São Francisco - CHESF (24,5%), Centrais Elétricas do Norte do Brasil S.A. - ELETRONORTE (24,5%), Neoenergia S.A. (46%), Construtora Norberto Odebrecht (5%), que compõem o Consórcio Aripuanã"
UHE,UHE Mauá,A-5,Leilão 4/2006,361,197.7,192,112.96,Telêmaco Borba e Ortigueira/PR,Água,PIE,882849520.00,"Copel Geração S.A. (51%) e Eletrosul Centrais Elétricas S.A. (49%), que compõem o Consórcio Cruzeiro do Sul"
UTE,UTE Quatá (Ampliação),A-5,Leilão 4/2006,60,10.5,10,137,Quatá/SP,Bagaço de Cana-de-Açúcar,PIE,109044000.00,Açucareira Quatá S.A.
