Tipo;Usina;Tipo de Leilão;Leilão;Pot. (MW);"Garantia Física (MWmédio)";Lotes Vendidos;Preço (R$/MW);Localização;Fonte;Mod.;Invest. Previsto  (R$);Empresa / Consórcio 
EOL;VENTOS DE SANTA LEIA 01;A-6;Leilão 04/2019;8,4;5;15;98,99;RN;VENTO;PIE; R$33.600.000,00 ;VENTOS DE SANTA LÉIA ENERGIAS RENOVÁVEIS S.A.
EOL;VENTOS DE SANTA LEIA 02;A-6;Leilão 04/2019;8,4;4,9;15;98,98;RN;VENTO;PIE; R$33.600.000,00 ;VENTOS DE SANTA LÉIA ENERGIAS RENOVÁVEIS S.A.
EOL;VENTOS DE SANTA LEIA 03;A-6;Leilão 04/2019;8,4;4,9;15;98,97;RN;VENTO;PIE; R$33.600.000,00 ;VENTOS DE SANTA LÉIA ENERGIAS RENOVÁVEIS S.A.
EOL;VENTOS DE SANTA LEIA 04;A-6;Leilão 04/2019;8,4;5,2;16;99;RN;VENTO;PIE; R$33.600.000,00 ;VENTOS DE SANTA LÉIA ENERGIAS RENOVÁVEIS S.A.
EOL;VENTOS DE SANTA LEIA 05;A-6;Leilão 04/2019;8,4;5;15;98,98;RN;VENTO;PIE; R$33.600.000,00 ;VENTOS DE SANTA LÉIA ENERGIAS RENOVÁVEIS S.A.
EOL;VENTOS DE SANTA LEIA 12;A-6;Leilão 04/2019;8,4;4,9;15;99;RN;VENTO;PIE; R$33.600.000,00 ;VENTOS DE SANTA LÉIA ENERGIAS RENOVÁVEIS S.A.
EOL;VENTOS DE SANTA LEIA 13;A-6;Leilão 04/2019;8,4;4,8;15;98,98;RN;VENTO;PIE; R$33.600.000,00 ;VENTOS DE SANTA LÉIA ENERGIAS RENOVÁVEIS S.A.
EOL;VENTOS DE SANTA LEIA 14;A-6;Leilão 04/2019;8,4;4,8;15;98,97;RN;VENTO;PIE; R$33.600.000,00 ;VENTOS DE SANTA LÉIA ENERGIAS RENOVÁVEIS S.A.
EOL;VENTOS DE SÃO JANUÁRIO 15;A-6;Leilão 04/2019;8,4;4;12;98,98;BA;VENTO;PIE; R$33.600.000,00 ;VENTOS DE SÃO JANUÁRIO ENERGIAS RENOVÁVEIS S.A.
EOL;VENTOS DE SÃO JANUÁRIO 16;A-6;Leilão 04/2019;8,4;4;12;98,98;BA;VENTO;PIE; R$33.600.000,00 ;VENTOS DE SÃO JANUÁRIO ENERGIAS RENOVÁVEIS S.A.
EOL;VENTOS DE SÃO JANUÁRIO 17;A-6;Leilão 04/2019;8,4;4,1;13;98,99;BA;VENTO;PIE; R$33.600.000,00 ;VENTOS DE SÃO JANUÁRIO ENERGIAS RENOVÁVEIS S.A.
EOL;VENTOS DE SÃO JANUÁRIO 18;A-6;Leilão 04/2019;8,4;4;12;99;BA;VENTO;PIE; R$33.600.000,00 ;VENTOS DE SÃO JANUÁRIO ENERGIAS RENOVÁVEIS S.A.
EOL;VENTOS DE SÃO JANUÁRIO 19;A-6;Leilão 04/2019;8,4;4;12;98,99;BA;VENTO;PIE; R$33.600.000,00 ;VENTOS DE SÃO JANUÁRIO ENERGIAS RENOVÁVEIS S.A.
PCH;VERDE 02 BAIXO;A-6;Leilão 04/2019;22,5;12,86;110;234,2;GO;VERDE;PIE; R$172.938.230,00 ;VERDE 2 ENERGÉTICA LTDA
